Asset_Identifier,Asset_Popularity_With_Funds,Asset_Risk_Type,Asset_Marketing_Proportion_Index,Asset_Category,Asset_Type,Asset_Type_ID,Asset_Price,Office_Establishment_Year,Office_Scale,Office_Location_Type,Office_Type,Office_Year,Office_Identifier,Office_ID,Asset_Office_Sales
FDS02,10.195,1,0.255394896,4,Bonds,1,196.8794,1985,2,0,0,28,OFF019,4,780.3176
NCL17,7.39,0,0.067779712,8,Private Equity,2,143.8812,1997,2,0,1,16,OFF046,8,3134.5864
FDM40,10.195,0,0.159803853,5,Bonds,1,141.5154,1987,0,2,1,26,OFF013,1,850.8924
FDR13,9.895,1,0.028696932,3,Bonds,1,117.0492,1987,0,2,1,26,OFF013,1,810.9444
FDA43,10.895,0,0.065041581,6,Bonds,1,196.3794,2007,2,1,1,6,OFF017,2,3121.2704
NCP18,12.15,0,0.028760013,9,Private Equity,2,151.4708,2007,2,1,1,6,OFF017,2,4815.0656
FDK21,7.905,0,0.010053105,13,Bonds,1,249.0408,2009,1,2,2,4,OFF018,3,6258.52
NCX54,9.195,0,0.048157338,9,Private Equity,2,106.1622,2002,2,1,1,11,OFF045,7,2117.244
DRK35,8.365,0,0.071958197,7,ETF,0,38.0506,1999,1,0,1,14,OFF049,9,796.9626
FDY21,15.1,0,0.173481304,13,Bonds,1,194.511,1997,2,0,1,16,OFF046,8,4910.275
FDI26,5.94,0,0.061082177,3,Bonds,1,180.0344,1985,2,0,0,28,OFF019,4,892.172
FDM20,10.0,0,0.038748011,6,Bonds,1,246.9144,2009,1,2,2,4,OFF018,3,3185.1872
FDV27,7.97,1,0.040071131,10,Bonds,1,87.3514,2002,2,1,1,11,OFF045,7,1062.6168
FDF09,6.215,0,0.012090074,6,Bonds,1,38.2848,1985,1,2,3,28,OFF027,5,484.7024
FDY40,15.5,1,0.15028599,5,Bonds,1,51.0692,1985,2,0,0,28,OFF019,4,147.8076
FDY45,17.5,0,0.026015519,13,Bonds,1,255.8356,1985,1,2,3,28,OFF027,5,2543.356
FDC46,17.7,0,0.195068226,13,Bonds,1,185.4266,1998,2,2,0,15,OFF010,0,184.4266
FDH19,19.35,0,0.033082215,10,Bonds,1,172.5738,2004,2,1,1,9,OFF035,6,4865.6664
FDZ03,13.65,1,0.078946455,4,Bonds,1,186.024,2002,2,1,1,11,OFF045,7,1118.544
DRH37,17.6,0,0.041700756,14,ETF,0,164.8526,2002,2,1,1,11,OFF045,7,2302.3364
NCI17,8.645,0,0.143422643,8,Private Equity,2,95.841,1997,2,0,1,16,OFF046,8,2027.361
FDJ58,15.6,1,0.105296072,13,Bonds,1,170.1764,1997,2,0,1,16,OFF046,8,3435.528
FDL12,15.85,1,0.121531501,0,Bonds,1,59.222,1987,0,2,1,26,OFF013,1,599.22
FDH35,18.25,0,0.068386192,15,Bonds,1,164.7526,2002,2,1,1,11,OFF045,7,4604.6728
FDG02,7.855,0,0.011324862,3,Bonds,1,189.6188,2007,2,1,1,6,OFF017,2,2285.0256
NCZ18,7.825,0,0.186357148,9,Private Equity,2,254.3698,1999,1,0,1,14,OFF049,9,5580.7356
FDC29,8.39,1,0.024205661,5,Bonds,1,114.0176,1997,2,0,1,16,OFF046,8,2290.352
FDQ10,12.85,0,0.033230816,13,Bonds,1,172.3422,1999,1,0,1,14,OFF049,9,1207.0954
FDN48,13.35,0,0.113720344,0,Bonds,1,89.9804,1985,2,0,0,28,OFF019,4,643.1628
FDL04,19.0,0,0.112556507,5,Bonds,1,104.9622,2007,2,1,1,6,OFF017,2,1587.933
FDV25,5.905,0,0.054276717,3,Bonds,1,222.5456,2002,2,1,1,11,OFF045,7,5305.0944
FDD58,7.76,0,0.059352241,13,Bonds,1,101.87,1997,2,0,1,16,OFF046,8,1697.79
FDN04,11.8,1,0.014087057,5,Bonds,1,180.3344,1997,2,0,1,16,OFF046,8,1427.4752
FDV45,16.75,0,0.045230944,13,Bonds,1,187.9556,2009,1,2,2,4,OFF018,3,4693.89
NCL18,18.85,0,0.293417759,9,Private Equity,2,194.6136,1985,2,0,0,28,OFF019,4,583.2408
FDR12,12.6,1,0.031382044,0,Bonds,1,171.3764,1985,1,2,3,28,OFF027,5,3091.9752
FDG20,15.5,1,0.12639886,6,Bonds,1,177.0028,2007,2,1,1,6,OFF017,2,2479.4392
FDZ55,6.055,0,0.025403898,6,Bonds,1,160.992,2004,2,1,1,9,OFF035,6,2716.464
FDQ49,20.2,1,0.039057677,2,Bonds,1,155.963,1985,1,2,3,28,OFF027,5,3285.723
FDN33,6.305,1,0.123115764,13,Bonds,1,95.6436,1997,2,0,1,16,OFF046,8,661.8052
FDN27,20.85,0,0.039624006,10,Bonds,1,117.2808,1999,1,0,1,14,OFF049,9,1523.3504
FDW20,20.75,0,0.040421193,6,Bonds,1,122.173,1998,2,2,0,15,OFF010,0,369.519
DRG27,8.895,0,0.105274111,4,ETF,0,39.9138,1999,1,0,1,14,OFF049,9,690.4346
DRI25,19.6,0,0.033970195,14,ETF,0,55.1614,2002,2,1,1,11,OFF045,7,1381.535
FDA44,19.7,0,0.053212652,6,Bonds,1,57.893,2004,2,1,1,9,OFF035,6,622.523
NCR17,9.8,0,0.024378706,8,Private Equity,2,114.5492,2004,2,1,1,9,OFF035,6,1274.3412
FDU04,7.93,0,0.009714595,5,Bonds,1,120.0414,1985,2,0,0,28,OFF019,4,487.3656
FDF41,12.15,0,0.131383762,5,Bonds,1,246.046,1999,1,0,1,14,OFF049,9,1231.73
FDB56,8.75,1,0.07461309,6,Bonds,1,187.4556,2004,2,1,1,9,OFF035,6,3755.112
NCP18,12.15,0,0.028459761,9,Private Equity,2,149.9708,1985,1,2,3,28,OFF027,5,4363.6532
FDB56,8.75,1,0.074627201,6,Bonds,1,187.8556,1997,2,0,1,16,OFF046,8,1314.2892
FDT28,13.3,0,0.063695084,5,Bonds,1,151.0708,2002,2,1,1,11,OFF045,7,1805.6496
FDD10,20.6,1,0.045797829,13,Bonds,1,178.5344,1985,1,2,3,28,OFF027,5,2854.9504
FDW57,8.31,1,0.115857223,13,Bonds,1,179.1028,1999,1,0,1,14,OFF049,9,3896.2616
DRB48,16.75,1,0.024832806,14,ETF,0,38.7822,1987,0,2,1,26,OFF013,1,667.7974
FDP09,19.75,0,0.034027909,13,Bonds,1,212.0902,2009,1,2,2,4,OFF018,3,3185.853
FDH14,17.1,1,0.0467696,3,Bonds,1,141.1838,1987,0,2,1,26,OFF013,1,2247.7408
FDA47,10.5,1,0.116576702,0,Bonds,1,163.121,1987,0,2,1,26,OFF013,1,1794.331
FDG12,6.635,1,0.006336295,0,Bonds,1,121.3098,2002,2,1,1,11,OFF045,7,2530.7058
DRE60,9.395,0,0.278974075,14,ETF,0,225.372,1985,2,0,0,28,OFF019,4,679.116
DRK49,14.15,0,0.035913805,14,ETF,0,41.4138,1987,0,2,1,26,OFF013,1,812.276
FDD03,13.3,0,0.079806266,4,Bonds,1,232.53,1997,2,0,1,16,OFF046,8,699.09
FDS52,8.89,0,0.005505481,5,Bonds,1,102.4016,2007,2,1,1,6,OFF017,2,2732.4432
FDW39,6.69,1,0.064625342,10,Bonds,1,176.937,1985,2,0,0,28,OFF019,4,176.437
FDX34,6.195,0,0.071636937,13,Bonds,1,121.7098,1985,1,2,3,28,OFF027,5,4097.3332
FDV11,9.1,1,0.100047421,1,Bonds,1,173.2054,2002,2,1,1,11,OFF045,7,3151.8972
FDD17,7.5,0,0.032677678,5,Bonds,1,239.0906,1999,1,0,1,14,OFF049,9,5942.265
FDZ16,16.85,1,0.160760054,5,Bonds,1,192.4478,2007,2,1,1,6,OFF017,2,4843.695
FDZ46,7.485,0,0.06911065,13,Bonds,1,109.0228,2004,2,1,1,9,OFF035,6,2542.0244
DRA12,11.6,0,0.041177505,14,ETF,0,140.3154,2007,2,1,1,6,OFF017,2,2552.6772
FDY58,11.65,0,0.040081193,13,Bonds,1,227.0694,2009,1,2,2,4,OFF018,3,1141.847
NCF19,13.0,0,0.035307322,9,Private Equity,2,47.5034,2007,2,1,1,6,OFF017,2,680.4476
DRJ13,12.65,0,0.063017847,14,ETF,0,159.0578,2002,2,1,1,11,OFF045,7,2085.9514
FDB14,20.25,1,0.171938781,3,Bonds,1,92.512,1998,2,2,0,15,OFF010,0,186.424
FDJ38,8.6,1,0.040197932,3,Bonds,1,190.153,2004,2,1,1,9,OFF035,6,3036.048
FDW11,12.6,0,0.049058014,1,Bonds,1,62.7194,2007,2,1,1,6,OFF017,2,866.8716
FDL40,17.7,0,0.01161096,5,Bonds,1,95.041,2004,2,1,1,9,OFF035,6,868.869
DRI49,14.15,0,0.183507295,14,ETF,0,82.4276,1997,2,0,1,16,OFF046,8,1137.1864
FDV38,19.25,0,0.102349519,4,Bonds,1,52.7956,2007,2,1,1,6,OFF017,2,928.1252
DRG23,8.88,0,0.086708987,7,ETF,0,151.7682,1987,0,2,1,26,OFF013,1,762.341
NCP30,20.5,0,0.032835147,9,Private Equity,2,40.2822,2002,2,1,1,11,OFF045,7,707.0796
FDY25,12.0,0,0.033809913,3,Bonds,1,180.5976,1985,1,2,3,28,OFF027,5,7968.2944
NCH54,13.5,0,0.07266912,9,Private Equity,2,160.292,1997,2,0,1,16,OFF046,8,1438.128
NCR53,12.15,0,0.144338493,8,Private Equity,2,224.4404,1985,1,2,3,28,OFF027,5,6976.2524
FDS52,8.89,0,0.009163216,5,Bonds,1,101.7016,1998,2,2,0,15,OFF010,0,101.2016
FDG02,7.855,0,0.011307038,3,Bonds,1,188.5188,2009,1,2,2,4,OFF018,3,952.094
NCO26,7.235,0,0.076855628,9,Private Equity,2,116.0492,1997,2,0,1,16,OFF046,8,1969.4364
FDH35,18.25,0,0.059956876,15,Bonds,1,165.4526,1985,1,2,3,28,OFF027,5,5262.4832
FDB51,6.92,0,0.038532062,4,Bonds,1,60.5852,2002,2,1,1,11,OFF045,7,1314.2892
FDX44,9.3,0,0.043209581,6,Bonds,1,90.8172,2007,2,1,1,6,OFF017,2,535.3032
NCN07,18.5,0,0.056816465,11,Private Equity,2,132.1284,1998,2,2,0,15,OFF010,0,263.6568
NCC31,8.02,0,0.019866705,9,Private Equity,2,154.5972,2004,2,1,1,9,OFF035,6,1402.1748
NCX54,9.195,0,0.048331717,9,Private Equity,2,105.1622,2007,2,1,1,6,OFF017,2,1693.7952
NCO55,12.8,0,0.091221855,11,Private Equity,2,105.5938,2002,2,1,1,11,OFF045,7,2143.876
NCC30,16.6,0,0.027622076,9,Private Equity,2,177.6344,1999,1,0,1,14,OFF049,9,2676.516
FDI16,14.0,1,0.15402922,5,Bonds,1,53.064,2004,2,1,1,9,OFF035,6,905.488
FDP16,18.6,0,0.039355947,5,Bonds,1,246.3802,1999,1,0,1,14,OFF049,9,7370.406
FDB11,16.0,0,0.060836524,15,Bonds,1,226.8404,2004,2,1,1,9,OFF035,6,6301.1312
NCB06,17.6,0,0.082316506,8,Private Equity,2,160.692,2004,2,1,1,9,OFF035,6,1597.92
FDA45,21.25,0,0.155350299,13,Bonds,1,178.237,2004,2,1,1,9,OFF035,6,529.311
NCO26,7.235,0,0.076841095,9,Private Equity,2,117.5492,2004,2,1,1,9,OFF035,6,1969.4364
DRJ25,14.6,0,0.151419185,14,ETF,0,50.3692,2007,2,1,1,6,OFF017,2,1034.6532
FDR28,13.85,1,0.026001976,5,Bonds,1,161.521,2009,1,2,2,4,OFF018,3,1794.331
FDI04,13.65,1,0.073209447,5,Bonds,1,197.6426,2009,1,2,2,4,OFF018,3,2768.3964
DRK12,9.5,0,0.041683481,14,ETF,0,31.29,1985,1,2,3,28,OFF027,5,898.83
FDX20,7.365,0,0.042560252,6,Bonds,1,226.172,1997,2,0,1,16,OFF046,8,3169.208
NCI18,18.35,0,0.014081156,9,Private Equity,2,223.5746,2009,1,2,2,4,OFF018,3,3589.9936
FDB36,5.465,1,0.048544854,0,Bonds,1,132.5626,2009,1,2,2,4,OFF018,3,262.3252
FDN13,18.6,0,0.152918384,2,Bonds,1,99.8358,2007,2,1,1,6,OFF017,2,1910.1802
DRD24,13.85,0,0.030969274,14,ETF,0,140.9154,2007,2,1,1,6,OFF017,2,1701.7848
FDQ28,14.0,1,0.060376776,5,Bonds,1,154.5656,1987,0,2,1,26,OFF013,1,2471.4496
FDM22,14.0,1,0.04192285,13,Bonds,1,54.764,1987,0,2,1,26,OFF013,1,1331.6
FDR07,21.35,0,0.077367431,6,Bonds,1,97.0094,1985,1,2,3,28,OFF027,5,1808.9786
FDV25,5.905,0,0.045838211,3,Bonds,1,222.5456,2009,1,2,2,4,OFF018,3,3315.684
DRF49,7.27,0,0.071077939,14,ETF,0,114.2518,1997,2,0,1,16,OFF046,8,2618.5914
FDW51,6.155,1,0.094659871,10,Bonds,1,214.556,1997,2,0,1,16,OFF046,8,2769.728
DRL01,19.5,1,0.077608838,14,ETF,0,233.4958,2007,2,1,1,6,OFF017,2,5375.0034
FDP25,15.2,0,0.021327477,3,Bonds,1,216.8824,2007,2,1,1,6,OFF017,2,2838.9712
FDL50,12.15,1,0.042485444,3,Bonds,1,125.0046,2009,1,2,2,4,OFF018,3,1743.0644
NCB30,14.6,0,0.025578526,9,Private Equity,2,198.8084,1985,1,2,3,28,OFF027,5,5555.4352
FDW11,12.6,0,0.0489808,1,Bonds,1,61.9194,2009,1,2,2,4,OFF018,3,619.194
NCM43,14.5,0,0.019471688,11,Private Equity,2,164.821,2004,2,1,1,9,OFF035,6,2120.573
FDK44,16.6,0,0.122918852,6,Bonds,1,173.0738,2007,2,1,1,6,OFF017,2,3823.0236
FDM15,11.8,1,0.057373797,10,Bonds,1,151.4366,1987,0,2,1,26,OFF013,1,1360.2294
FDS31,13.1,1,0.044155597,6,Bonds,1,178.8318,1987,0,2,1,26,OFF013,1,3969.4996
FDI32,17.7,0,0.291865402,6,Bonds,1,115.1834,1998,2,2,0,15,OFF010,0,345.5502
FDR47,17.85,0,0.087609529,1,Bonds,1,196.5794,1998,2,2,0,15,OFF010,0,585.2382
FDB35,12.3,1,0.064750025,15,Bonds,1,92.6804,2002,2,1,1,11,OFF045,7,1010.6844
NCU05,11.8,0,0.098312421,8,Private Equity,2,81.4618,1998,2,2,0,15,OFF010,0,161.1236
DRY23,9.395,1,0.191013663,14,ETF,0,42.1112,1985,2,0,0,28,OFF019,4,42.6112
FDO24,11.1,0,0.176573035,0,Bonds,1,157.4604,2002,2,1,1,11,OFF045,7,3010.7476
FDQ28,14.0,1,0.060134441,5,Bonds,1,153.0656,1985,1,2,3,28,OFF027,5,6024.1584
FDV39,11.3,0,0.007294652,10,Bonds,1,198.1426,2002,2,1,1,11,OFF045,7,988.713
NCO17,10.0,0,0.128478462,8,Private Equity,2,117.944,1985,2,0,0,28,OFF019,4,239.688
FDU50,5.75,1,0.075107656,4,Bonds,1,112.8176,1987,0,2,1,26,OFF013,1,1374.2112
FDT12,6.215,1,0.049381406,0,Bonds,1,226.8062,1985,1,2,3,28,OFF027,5,4739.8302
FDK58,11.35,1,0.045165796,13,Bonds,1,100.0016,2009,1,2,2,4,OFF018,3,1012.016
FDO08,11.1,1,0.09415375,6,Bonds,1,165.7526,1985,2,0,0,28,OFF019,4,657.8104
NCW29,14.0,0,0.028907832,8,Private Equity,2,130.431,1999,1,0,1,14,OFF049,9,778.986
FDE04,19.75,1,0.018059621,5,Bonds,1,179.766,2002,2,1,1,11,OFF045,7,2336.958
NCB19,6.525,0,0.090436094,9,Private Equity,2,85.0882,1999,1,0,1,14,OFF049,9,2233.0932
FDV15,10.3,0,0.146399712,10,Bonds,1,103.9648,1999,1,0,1,14,OFF049,9,1661.8368
FDL58,5.78,1,0.074264356,13,Bonds,1,264.7568,1999,1,0,1,14,OFF049,9,4745.8224
FDA08,11.85,1,0.050186726,6,Bonds,1,164.1526,2002,2,1,1,11,OFF045,7,3124.5994
FDT43,16.35,0,0.020631654,6,Bonds,1,50.1324,2009,1,2,2,4,OFF018,3,467.3916
NCX06,17.6,0,0.01561108,9,Private Equity,2,182.5976,1985,1,2,3,28,OFF027,5,5070.7328
FDT20,10.5,0,0.041395445,6,Bonds,1,37.6164,1997,2,0,1,16,OFF046,8,540.6296
FDB41,19.0,1,0.097313129,5,Bonds,1,48.0718,1997,2,0,1,16,OFF046,8,992.7078
NCN55,14.6,0,0.059582996,11,Private Equity,2,238.8538,1999,1,0,1,14,OFF049,9,6008.845
FDE40,15.6,1,0.098663652,4,Bonds,1,62.9194,1985,1,2,3,28,OFF027,5,2105.2596
FDX49,4.615,1,0.101338651,3,Bonds,1,232.63,1985,1,2,3,28,OFF027,5,5359.69
NCM53,18.75,0,0.052146456,8,Private Equity,2,104.628,2002,2,1,1,11,OFF045,7,745.696
FDE36,5.26,1,0.041764487,0,Bonds,1,161.8868,2004,2,1,1,9,OFF035,6,3275.736
FDN57,18.25,0,0.054344186,13,Bonds,1,140.2154,2002,2,1,1,11,OFF045,7,1701.7848
FDI24,10.3,0,0.078362484,0,Bonds,1,177.937,1985,1,2,3,28,OFF027,5,6704.606
FDI19,15.1,0,0.052339069,10,Bonds,1,242.7512,1997,2,0,1,16,OFF046,8,4119.9704
FDF24,15.5,1,0.042464962,0,Bonds,1,81.5934,1998,2,2,0,15,OFF010,0,327.5736
FDG52,13.65,0,0.065732883,5,Bonds,1,45.7402,1999,1,0,1,14,OFF049,9,780.9834
DRF36,16.1,0,0.023625114,14,ETF,0,189.3846,2002,2,1,1,11,OFF045,7,3630.6074
FDS45,5.175,1,0.051643608,13,Bonds,1,107.3622,1985,2,0,0,28,OFF019,4,317.5866
FDX40,12.85,0,0.165694219,5,Bonds,1,39.7164,1998,2,2,0,15,OFF010,0,231.6984
DRK12,9.5,0,0.041878397,14,ETF,0,32.99,2004,2,1,1,9,OFF035,6,133.16
DRC27,13.8,0,0.058091482,4,ETF,0,245.1802,2004,2,1,1,9,OFF035,6,5650.6446
FDL58,5.78,1,0.081356682,13,Bonds,1,263.7568,2007,2,1,1,6,OFF017,2,2636.568
NCD30,19.7,0,0.026903714,9,Private Equity,2,96.0726,2002,2,1,1,11,OFF045,7,1272.3438
NCZ54,14.65,0,0.093830507,9,Private Equity,2,161.5552,1998,2,2,0,15,OFF010,0,324.9104
FDE10,6.67,1,0.150554711,13,Bonds,1,130.0626,1998,2,2,0,15,OFF010,0,131.1626
FDR44,6.11,1,0.103042643,6,Bonds,1,131.2968,1998,2,2,0,15,OFF010,0,260.9936
FDP28,13.65,1,0.134975628,5,Bonds,1,260.0936,1998,2,2,0,15,OFF010,0,260.9936
FDX15,17.2,0,0.15616879,10,Bonds,1,160.6578,1987,0,2,1,26,OFF013,1,3690.5294
FDA39,6.32,0,0.013952322,10,Bonds,1,40.2822,2004,2,1,1,9,OFF035,6,1139.1838
FDY24,4.88,1,0.133700752,0,Bonds,1,52.9298,1999,1,0,1,14,OFF049,9,1995.4026
FDC60,5.425,1,0.115119905,0,Bonds,1,88.3514,2007,2,1,1,6,OFF017,2,1416.8224
FDH28,15.85,1,0.110030997,5,Bonds,1,37.2506,1997,2,0,1,16,OFF046,8,265.6542
FDT25,7.5,0,0.051038045,3,Bonds,1,121.7072,2007,2,1,1,6,OFF017,2,3552.7088
DRJ13,12.65,0,0.062837968,14,ETF,0,161.5578,1987,0,2,1,26,OFF013,1,2406.867
NCO07,9.06,0,0.017116983,11,Private Equity,2,211.956,1985,2,0,0,28,OFF019,4,213.056
FDW20,20.75,0,0.024129332,6,Bonds,1,124.173,1987,0,2,1,26,OFF013,1,2956.152
DRF27,8.93,0,0.049754975,4,ETF,0,152.134,1985,2,0,0,28,OFF019,4,153.134
FDS49,9.0,0,0.079562248,3,Bonds,1,79.7644,2004,2,1,1,9,OFF035,6,1649.8524
FDX25,16.7,0,0.101561568,3,Bonds,1,181.9292,1985,1,2,3,28,OFF027,5,3101.2964
NCX42,6.36,0,0.005949644,9,Private Equity,2,165.6526,1985,1,2,3,28,OFF027,5,4769.1254
FDG33,5.365,1,0.13956116,12,Bonds,1,170.4764,1985,1,2,3,28,OFF027,5,3435.528
FDL56,14.1,0,0.126035694,6,Bonds,1,86.4198,2002,2,1,1,11,OFF045,7,1133.8574
FDF14,7.55,0,0.027164679,3,Bonds,1,152.334,2004,2,1,1,9,OFF035,6,2603.278
NCD06,13.0,0,0.099325278,9,Private Equity,2,45.406,1997,2,0,1,16,OFF046,8,605.878
DRM47,9.3,0,0.04357366,7,ETF,0,192.8846,1985,1,2,3,28,OFF027,5,2293.0152
FDS46,17.6,1,0.082741482,13,Bonds,1,118.7782,1985,2,0,0,28,OFF019,4,119.1782
FDB35,12.3,1,0.064565202,15,Bonds,1,92.9804,1987,0,2,1,26,OFF013,1,1929.4884
FDX21,7.05,0,0.084554569,13,Bonds,1,109.8912,1985,1,2,3,28,OFF027,5,2074.6328
NCU05,11.8,0,0.058451805,8,Private Equity,2,79.9618,1985,1,2,3,28,OFF027,5,241.6854
NCR38,17.25,0,0.113748685,9,Private Equity,2,251.3724,2002,2,1,1,11,OFF045,7,6795.1548
NCR18,15.85,0,0.020603511,9,Private Equity,2,42.7112,2007,2,1,1,6,OFF017,2,639.168
NCU41,18.85,0,0.052044976,8,Private Equity,2,192.1846,2004,2,1,1,9,OFF035,6,3248.4382
FDY56,16.35,1,0.062764429,6,Bonds,1,227.6062,2007,2,1,1,6,OFF017,2,7222.5984
DRJ51,14.1,0,0.087977262,4,ETF,0,229.0668,2004,2,1,1,9,OFF035,6,3225.1352
FDK21,7.905,0,0.010010425,13,Bonds,1,249.0408,2004,2,1,1,9,OFF035,6,3755.112
FDY25,12.0,0,0.033946163,3,Bonds,1,179.3976,1987,0,2,1,26,OFF013,1,3440.8544
FDU44,12.15,1,0.058414678,6,Bonds,1,163.4552,2004,2,1,1,9,OFF035,6,974.7312
FDL43,10.1,0,0.027106459,10,Bonds,1,75.367,1999,1,0,1,14,OFF049,9,535.969
FDF05,17.5,0,0.027022883,5,Bonds,1,262.491,2007,2,1,1,6,OFF017,2,5259.82
DRF15,18.35,0,0.058153409,4,ETF,0,152.034,1985,2,0,0,28,OFF019,4,306.268
FDL20,17.1,0,0.128937661,6,Bonds,1,112.3886,2009,1,2,2,4,OFF018,3,1779.0176
